Administracinė teritorija,Reikšmė
Vilniaus apskritis,9730
Elektrėnų sav.,509
Šalčininkų r. sav.,1493
Širvintų r. sav.,905
Švenčionių r. sav.,1691
Trakų r. sav.,1207
Ukmergės r. sav.,1395
Vilniaus m. sav.,400
Vilniaus r. sav.,2129
Alytaus apskritis,5418
Alytaus m. sav.,39
Alytaus r. sav.,1403
Druskininkų sav.,453
Lazdijų r. sav.,1306
Varėnos r. sav.,2216
Kauno apskritis,8087
Birštono sav.,122
Jonavos r. sav.,944
Kaišiadorių r. sav.,1087
Kauno m. sav.,157
Kauno r. sav.,1496
Kėdainių r. sav.,1677
Prienų r. sav.,1033
Raseinių r. sav.,1573
Klaipėdos apskritis,5222
Klaipėdos m. sav.,98
Klaipėdos r. sav.,1323
Kretingos r. sav.,989
Neringos sav.,139
Palangos m. sav.,79
Skuodo r. sav.,911
Šilutės r. sav.,1682
Marijampolės apskritis,4465
Kalvarijos sav.,440
Kazlų Rūdos sav.,555
Marijampolės sav.,755
Šakių r. sav.,1454
Vilkaviškio r. sav.,1262
Panevėžio apskritis,7878
Biržų r. sav.,1476
Kupiškio r. sav.,1080
Panevėžio m. sav.,50
Panevėžio r. sav.,2177
Pasvalio r. sav.,1289
Rokiškio r. sav.,1806
Šiaulių apskritis,8537
Akmenės r. sav.,844
Joniškio r. sav.,1152
Kelmės r. sav.,1705
Pakruojo r. sav.,1315
Radviliškio r. sav.,1634
Šiaulių m. sav.,82
Šiaulių r. sav.,1806
Tauragės apskritis,4408
Jurbarko r. sav.,1506
Pagėgių sav.,535
Šilalės r. sav.,1188
Tauragės r. sav.,1179
Telšių apskritis,4349
Mažeikių r. sav.,1220
Plungės r. sav.,1105
Rietavo sav.,586
Telšių r. sav.,1439
Utenos apskritis,7191
Anykščių r. sav.,1764
Ignalinos r. sav.,1441
Molėtų r. sav.,1367
Utenos r. sav.,1230
Visagino sav.,58
Zarasų r. sav.,1331
