name,year,month,infection,forest cover,population,area,oro_temp,juntamoji_temp,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,krituliu_kiekis
Alytaus apskritis,2004,3,1,49.0,182751.0,5418.0,1.4064516129032258,,,,,,40.3
Alytaus m. sav.,2004,3,1,30.4,70053.0,39.0,1.4064516129032258,,,,,,40.3
Druskininkų sav.,2004,3,0,69.2,24665.0,453.0,1.6870967741935483,,,,,,41.4
Alytaus r. sav.,2004,3,0,24.6,31741.0,1403.0,1.4064516129032258,,,,,,40.3
Lazdijų r. sav.,2004,3,0,34.8,26221.0,1306.0,1.6870967741935483,,,,,,41.4
Varėnos r. sav.,2004,3,0,69.0,30071.0,2216.0,1.4064516129032258,,,,,,40.3
Kauno apskritis,2004,3,22,29.5,682074.0,8087.0,1.5935483870967742,,,,,,59.199999999999996
Kauno m. sav.,2004,3,18,20.6,363952.0,157.0,1.5935483870967742,,,,,,59.199999999999996
Jonavos r. sav.,2004,3,0,41.8,51510.0,944.0,1.6774193548387097,,,,,,34.1
Kaišiadorių r. sav.,2004,3,2,31.4,37117.0,1087.0,1.5935483870967742,,,,,,59.199999999999996
Kauno r. sav.,2004,3,1,32.6,83167.0,1496.0,1.5935483870967742,,,,,,59.199999999999996
Kėdainių r. sav.,2004,3,0,25.5,63692.0,1677.0,1.4903225806451612,,,,,,43.0
Prienų r. sav.,2004,3,0,27.4,34438.0,1033.0,1.5935483870967742,,,,,,59.199999999999996
Raseinių r. sav.,2004,3,1,22.9,42958.0,1573.0,1.0129032258064516,,,,,,62.7
Klaipėdos apskritis,2004,3,1,24.7,376854.0,5222.0,1.3580645161290323,,,,,,51.3
Klaipėdos m. sav.,2004,3,0,16.3,186811.0,98.0,1.3580645161290323,,,,,,51.3
Palangos m. sav.,2004,3,0,39.9,17222.0,79.0,1.3580645161290323,,,,,,51.3
Klaipėdos r. sav.,2004,3,0,23.8,47367.0,1323.0,1.3580645161290323,,,,,,51.3
Kretingos r. sav.,2004,3,0,33.1,45454.0,989.0,1.3580645161290323,,,,,,51.3
Skuodo r. sav.,2004,3,0,15.4,24613.0,911.0,0.6548387096774194,,,,,,64.4
Šilutės r. sav.,2004,3,1,22.1,53143.0,1682.0,1.2870967741935484,,,,,,45.0
Marijampolės apskritis,2004,3,1,21.6,184058.0,4465.0,2.164516129032258,,,,,,44.300000000000004
Marijampolės r. sav.,2004,3,0,,,,2.164516129032258,,,,,,44.300000000000004
Šakių r. sav.,2004,3,0,22.8,37575.0,1454.0,2.164516129032258,,,,,,44.300000000000004
Vilkaviškio r. sav.,2004,3,1,10.5,49137.0,1262.0,2.164516129032258,,,,,,44.300000000000004
Panevėžio apskritis,2004,3,14,27.2,290097.0,7878.0,0.9516129032258065,,,,,,44.699999999999996
Panevėžio m. sav.,2004,3,7,0.6,114917.0,50.0,1.4967741935483874,,,,,,41.2
Biržų r. sav.,2004,3,1,26.3,34266.0,1476.0,0.9516129032258065,,,,,,44.699999999999996
Kupiškio r. sav.,2004,3,0,27.9,23865.0,1080.0,1.4967741935483874,,,,,,41.2
Panevėžio r. sav.,2004,3,1,33.9,42588.0,2177.0,1.4967741935483874,,,,,,41.2
Pasvalio r. sav.,2004,3,0,16.5,33629.0,1289.0,0.9516129032258065,,,,,,44.699999999999996
Rokiškio r. sav.,2004,3,5,27.9,40832.0,1806.0,1.1483870967741936,,,,,,43.4
Šiaulių apskritis,2004,3,6,25.8,357441.0,8537.0,1.067741935483871,,,,,,54.3
Šiaulių m. sav.,2004,3,4,15.0,127805.0,82.0,1.067741935483871,,,,,,54.3
Akmenės r. sav.,2004,3,0,32.1,28951.0,844.0,0.6548387096774194,,,,,,64.4
Joniškio r. sav.,2004,3,0,18.4,31012.0,1152.0,1.067741935483871,,,,,,54.3
Kelmės r. sav.,2004,3,1,26.2,39498.0,1705.0,1.0129032258064516,,,,,,62.7
Radviliškio r. sav.,2004,3,0,25.7,50638.0,1634.0,1.067741935483871,,,,,,54.3
Šiaulių r. sav.,2004,3,1,32.6,51002.0,1806.0,1.067741935483871,,,,,,54.3
Tauragės apskritis,2004,3,0,31.7,130179.0,4408.0,0.2612903225806451,,,,,,69.4
Jurbarko r. sav.,2004,3,0,38.0,36314.0,1506.0,1.0129032258064516,,,,,,62.7
Šilalės r. sav.,2004,3,0,24.0,30768.0,1188.0,0.2612903225806451,,,,,,69.4
Tauragės r. sav.,2004,3,0,38.5,51352.0,1179.0,0.2612903225806451,,,,,,69.4
Telšių apskritis,2004,3,4,32.9,175090.0,4349.0,0.6548387096774194,,,,,,64.4
Mažeikių r. sav.,2004,3,1,29.3,65831.0,1220.0,0.6548387096774194,,,,,,64.4
Plungės r. sav.,2004,3,0,32.7,43349.0,1105.0,0.6548387096774194,,,,,,64.4
