"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2004","Miškingumas","Vilniaus apskritis","proc.","41.9"
"2005","Miškingumas","Vilniaus apskritis","proc.","42.0"
"2006","Miškingumas","Vilniaus apskritis","proc.","42.0"
"2007","Miškingumas","Vilniaus apskritis","proc.","42.0"
"2008","Miškingumas","Vilniaus apskritis","proc.","42.4"
"2009","Miškingumas","Vilniaus apskritis","proc.","42.9"
"2010","Miškingumas","Vilniaus apskritis","proc.","43.7"
"2011","Miškingumas","Vilniaus apskritis","proc.","44.0"
"2012","Miškingumas","Vilniaus apskritis","proc.","43.9"
"2013","Miškingumas","Vilniaus apskritis","proc.","44.0"
"2014","Miškingumas","Vilniaus apskritis","proc.","44.0"
"2015","Miškingumas","Vilniaus apskritis","proc.","44.1"
"2016","Miškingumas","Vilniaus apskritis","proc.","44.2"
"2017","Miškingumas","Vilniaus apskritis","proc.","44.3"
"2018","Miškingumas","Vilniaus apskritis","proc.","44.3"
"2019","Miškingumas","Vilniaus apskritis","proc.","44.3"
"2020","Miškingumas","Vilniaus apskritis","proc.","44.5"
"2021","Miškingumas","Vilniaus apskritis","proc.","44.4"
"2022","Miškingumas","Vilniaus apskritis","proc.","44.2"
"2023","Miškingumas","Vilniaus apskritis","proc.","44.2"
"2024","Miškingumas","Vilniaus apskritis","proc.","44.1"
"2004","Miškingumas","Elektrėnų sav.","proc.","33.8"
"2005","Miškingumas","Elektrėnų sav.","proc.","33.8"
"2006","Miškingumas","Elektrėnų sav.","proc.","33.8"
"2007","Miškingumas","Elektrėnų sav.","proc.","33.8"
"2008","Miškingumas","Elektrėnų sav.","proc.","33.8"
"2009","Miškingumas","Elektrėnų sav.","proc.","33.8"
"2010","Miškingumas","Elektrėnų sav.","proc.","34.1"
"2011","Miškingumas","Elektrėnų sav.","proc.","34.3"
"2012","Miškingumas","Elektrėnų sav.","proc.","32.5"
"2013","Miškingumas","Elektrėnų sav.","proc.","32.6"
"2014","Miškingumas","Elektrėnų sav.","proc.","32.7"
"2015","Miškingumas","Elektrėnų sav.","proc.","32.8"
"2016","Miškingumas","Elektrėnų sav.","proc.","32.8"
"2017","Miškingumas","Elektrėnų sav.","proc.","32.8"
"2018","Miškingumas","Elektrėnų sav.","proc.","32.9"
