name,year,month,infections
Alytaus r.,2011,1,0
Alytus,2011,1,0
Druskininkai,2011,1,0
Lazdyjų r.,2011,1,0
Varėnos r.,2011,1,1
Alytaus apskritis,2011,1,1
Birštonas,2011,1,0
Jonavos r.,2011,1,2
Kaišiadorių r.,2011,1,0
Kaunas,2011,1,4
Kauno r.,2011,1,1
Kėdainių r.,2011,1,1
Prienų r.,2011,1,1
Raseinių r.,2011,1,0
Kauno apskritis,2011,1,9
Klaipėda,2011,1,0
Klaipėdos r.,2011,1,1
Kretingos r.,2011,1,0
Neringa,2011,1,0
Palanga,2011,1,0
Šilutės r.,2011,1,0
Skuodo r.,2011,1,0
Klaipėdos apskritis,2011,1,1
Marijampolės r.,2011,1,0
Šakių r.,2011,1,0
Vilkaviškio r.,2011,1,0
Marijampolės apskritis,2011,1,0
Biržų r.,2011,1,0
Kupiškio r.,2011,1,1
Panevėžio r.,2011,1,3
Panevėžys,2011,1,9
Pasvalio r.,2011,1,0
Rokiškio r.,2011,1,0
Panevėžio apskritis,2011,1,13
Akmenės r.,2011,1,0
Joniškio r.,2011,1,0
Kelmės r.,2011,1,1
Radviliškio r.,2011,1,0
Šiauliai,2011,1,1
Šiaulių r.,2011,1,0
Šiaulių apskritis,2011,1,2
Jurbarko r.,2011,1,0
Šilalės r.,2011,1,0
Tauragės r.,2011,1,3
Tauragės apskritis,2011,1,3
Mažeikių r.,2011,1,1
Plungės r.,2011,1,2
Telšių r.,2011,1,1
Telšių apskritis,2011,1,4
Anykščių r.,2011,1,1
Ignalinos r.,2011,1,0
Molėtų r.,2011,1,1
Utenos r.,2011,1,1
Visaginas,2011,1,0
Zarasų r.,2011,1,1
Utenos apskritis,2011,1,4
Šalčininkų r.,2011,1,1
Širvintų r.,2011,1,1
Švenčionių r.,2011,1,1
Trakų r.,2011,1,1
Ukmergės r.,2011,1,1
Vilniaus r.,2011,1,1
Vilnius,2011,1,20
Vilniaus apskritis,2011,1,26
Alytaus r.,2011,2,1
Alytus,2011,2,1
Druskininkai,2011,2,0
Lazdyjų r.,2011,2,0
Varėnos r.,2011,2,0
Alytaus apskritis,2011,2,2
Birštonas,2011,2,0
Jonavos r.,2011,2,0
Kaišiadorių r.,2011,2,0
Kaunas,2011,2,3
Kauno r.,2011,2,1
Kėdainių r.,2011,2,0
Prienų r.,2011,2,1
Raseinių r.,2011,2,0
Kauno apskritis,2011,2,5
Klaipėda,2011,2,1
Klaipėdos r.,2011,2,1
Kretingos r.,2011,2,0
Neringa,2011,2,0
Palanga,2011,2,0
Šilutės r.,2011,2,3
Skuodo r.,2011,2,0
Klaipėdos apskritis,2011,2,5
Marijampolės r.,2011,2,1
Šakių r.,2011,2,0
Vilkaviškio r.,2011,2,0
Marijampolės apskritis,2011,2,1
Biržų r.,2011,2,1
Kupiškio r.,2011,2,0
Panevėžio r.,2011,2,0
Panevėžys,2011,2,3
Pasvalio r.,2011,2,0
Rokiškio r.,2011,2,1
Panevėžio apskritis,2011,2,5
Akmenės r.,2011,2,1
Joniškio r.,2011,2,0
Kelmės r.,2011,2,0
Radviliškio r.,2011,2,0
Šiauliai,2011,2,1
Šiaulių r.,2011,2,0
Šiaulių apskritis,2011,2,2
Jurbarko r.,2011,2,0
Šilalės r.,2011,2,0
Tauragės r.,2011,2,0
Tauragės apskritis,2011,2,0
Mažeikių r.,2011,2,0
Plungės r.,2011,2,0
Telšių r.,2011,2,2
Telšių apskritis,2011,2,2
Anykščių r.,2011,2,1
Ignalinos r.,2011,2,0
Molėtų r.,2011,2,1
Utenos r.,2011,2,2
Visaginas,2011,2,0
Zarasų r.,2011,2,1
Utenos apskritis,2011,2,5
Šalčininkų r.,2011,2,0
Širvintų r.,2011,2,1
Švenčionių r.,2011,2,1
Trakų r.,2011,2,2
Ukmergės r.,2011,2,0
Vilniaus r.,2011,2,0
Vilnius,2011,2,13
Vilniaus apskritis,2011,2,17
Alytaus r.,2011,3,0
Alytus,2011,3,0
Druskininkai,2011,3,0
Lazdyjų r.,2011,3,0
Varėnos r.,2011,3,1
Alytaus apskritis,2011,3,1
Birštonas,2011,3,0
Jonavos r.,2011,3,1
Kaišiadorių r.,2011,3,0
Kaunas,2011,3,3
Kauno r.,2011,3,0
Kėdainių r.,2011,3,0
Prienų r.,2011,3,1
Raseinių r.,2011,3,0
Kauno apskritis,2011,3,5
Klaipėda,2011,3,1
Klaipėdos r.,2011,3,0
Kretingos r.,2011,3,0
Neringa,2011,3,0
Palanga,2011,3,0
Šilutės r.,2011,3,0
Skuodo r.,2011,3,0
Klaipėdos apskritis,2011,3,1
Marijampolės r.,2011,3,0
Šakių r.,2011,3,0
Vilkaviškio r.,2011,3,0
Marijampolės apskritis,2011,3,0
Biržų r.,2011,3,1
Kupiškio r.,2011,3,0
Panevėžio r.,2011,3,2
Panevėžys,2011,3,1
Pasvalio r.,2011,3,0
Rokiškio r.,2011,3,0
Panevėžio apskritis,2011,3,4
Akmenės r.,2011,3,0
Joniškio r.,2011,3,0
Kelmės r.,2011,3,1
Radviliškio r.,2011,3,1
Šiauliai,2011,3,1
Šiaulių r.,2011,3,0
Šiaulių apskritis,2011,3,3
Jurbarko r.,2011,3,0
Šilalės r.,2011,3,0
Tauragės r.,2011,3,2
Tauragės apskritis,2011,3,2
Mažeikių r.,2011,3,0
Plungės r.,2011,3,0
Telšių r.,2011,3,1
Telšių apskritis,2011,3,1
Anykščių r.,2011,3,0
Ignalinos r.,2011,3,0
Molėtų r.,2011,3,1
Utenos r.,2011,3,2
Visaginas,2011,3,0
Zarasų r.,2011,3,0
Utenos apskritis,2011,3,3
Šalčininkų r.,2011,3,0
Širvintų r.,2011,3,0
Švenčionių r.,2011,3,0
Trakų r.,2011,3,0
Ukmergės r.,2011,3,0
Vilniaus r.,2011,3,1
Vilnius,2011,3,17
Vilniaus apskritis,2011,3,18
Alytaus r.,2011,4,0
Alytus,2011,4,0
Druskininkai,2011,4,0
Lazdyjų r.,2011,4,0
Varėnos r.,2011,4,0
Alytaus apskritis,2011,4,0
Birštonas,2011,4,0
Jonavos r.,2011,4,0
Kaišiadorių r.,2011,4,0
Kaunas,2011,4,5
Kauno r.,2011,4,0
Kėdainių r.,2011,4,0
Prienų r.,2011,4,0
Raseinių r.,2011,4,0
Kauno apskritis,2011,4,5
Klaipėda,2011,4,0
Klaipėdos r.,2011,4,0
Kretingos r.,2011,4,1
Neringa,2011,4,0
Palanga,2011,4,0
Šilutės r.,2011,4,0
Skuodo r.,2011,4,0
Klaipėdos apskritis,2011,4,1
Marijampolės r.,2011,4,3
Šakių r.,2011,4,0
Vilkaviškio r.,2011,4,0
Marijampolės apskritis,2011,4,3
Biržų r.,2011,4,1
Kupiškio r.,2011,4,0
Panevėžio r.,2011,4,0
Panevėžys,2011,4,0
Pasvalio r.,2011,4,0
Rokiškio r.,2011,4,0
Panevėžio apskritis,2011,4,1
Akmenės r.,2011,4,0
Joniškio r.,2011,4,0
Kelmės r.,2011,4,1
Radviliškio r.,2011,4,0
Šiauliai,2011,4,0
Šiaulių r.,2011,4,0
Šiaulių apskritis,2011,4,1
Jurbarko r.,2011,4,0
Šilalės r.,2011,4,0
Tauragės r.,2011,4,2
Tauragės apskritis,2011,4,2
Mažeikių r.,2011,4,0
Plungės r.,2011,4,0
Telšių r.,2011,4,1
Telšių apskritis,2011,4,1
Anykščių r.,2011,4,1
Ignalinos r.,2011,4,0
Molėtų r.,2011,4,0
Utenos r.,2011,4,0
Visaginas,2011,4,0
Zarasų r.,2011,4,1
Utenos apskritis,2011,4,2
Šalčininkų r.,2011,4,0
Širvintų r.,2011,4,0
Švenčionių r.,2011,4,0
Trakų r.,2011,4,0
Ukmergės r.,2011,4,1
Vilniaus r.,2011,4,0
Vilnius,2011,4,12
Vilniaus apskritis,2011,4,13
Alytaus r.,2011,5,1
Alytus,2011,5,1
Druskininkai,2011,5,0
Lazdyjų r.,2011,5,0
Varėnos r.,2011,5,1
Alytaus apskritis,2011,5,3
Birštonas,2011,5,0
Jonavos r.,2011,5,2
Kaišiadorių r.,2011,5,2
Kaunas,2011,5,16
Kauno r.,2011,5,0
Kėdainių r.,2011,5,0
Prienų r.,2011,5,0
Raseinių r.,2011,5,0
Kauno apskritis,2011,5,20
Klaipėda,2011,5,0
Klaipėdos r.,2011,5,1
Kretingos r.,2011,5,1
Neringa,2011,5,0
Palanga,2011,5,0
Šilutės r.,2011,5,0
Skuodo r.,2011,5,0
Klaipėdos apskritis,2011,5,2
Marijampolės r.,2011,5,3
Šakių r.,2011,5,0
Vilkaviškio r.,2011,5,0
Marijampolės apskritis,2011,5,3
Biržų r.,2011,5,0
Kupiškio r.,2011,5,0
Panevėžio r.,2011,5,2
Panevėžys,2011,5,4
Pasvalio r.,2011,5,0
Rokiškio r.,2011,5,1
Panevėžio apskritis,2011,5,7
Akmenės r.,2011,5,0
Joniškio r.,2011,5,0
Kelmės r.,2011,5,1
Radviliškio r.,2011,5,0
Šiauliai,2011,5,1
Šiaulių r.,2011,5,0
Šiaulių apskritis,2011,5,2
Jurbarko r.,2011,5,0
Šilalės r.,2011,5,2
Tauragės r.,2011,5,1
Tauragės apskritis,2011,5,3
Mažeikių r.,2011,5,0
Plungės r.,2011,5,0
Telšių r.,2011,5,3
Telšių apskritis,2011,5,3
Anykščių r.,2011,5,2
Ignalinos r.,2011,5,0
Molėtų r.,2011,5,1
Utenos r.,2011,5,2
Visaginas,2011,5,0
Zarasų r.,2011,5,1
Utenos apskritis,2011,5,6
Šalčininkų r.,2011,5,1
Širvintų r.,2011,5,0
Švenčionių r.,2011,5,1
Trakų r.,2011,5,2
Ukmergės r.,2011,5,3
Vilniaus r.,2011,5,4
Vilnius,2011,5,26
Vilniaus apskritis,2011,5,37
Alytaus r.,2011,6,0
Alytus,2011,6,0
Druskininkai,2011,6,0
Lazdyjų r.,2011,6,1
Varėnos r.,2011,6,0
Alytaus apskritis,2011,6,1
Birštonas,2011,6,0
Jonavos r.,2011,6,6
Kaišiadorių r.,2011,6,5
Kaunas,2011,6,28
Kauno r.,2011,6,6
Kėdainių r.,2011,6,2
Prienų r.,2011,6,0
Raseinių r.,2011,6,2
Kauno apskritis,2011,6,49
Klaipėda,2011,6,4
Klaipėdos r.,2011,6,0
Kretingos r.,2011,6,2
Neringa,2011,6,0
Palanga,2011,6,3
Šilutės r.,2011,6,0
Skuodo r.,2011,6,1
Klaipėdos apskritis,2011,6,10
Marijampolės r.,2011,6,0
Šakių r.,2011,6,1
Vilkaviškio r.,2011,6,2
Marijampolės apskritis,2011,6,3
Biržų r.,2011,6,1
Kupiškio r.,2011,6,5
Panevėžio r.,2011,6,0
Panevėžys,2011,6,2
Pasvalio r.,2011,6,0
Rokiškio r.,2011,6,5
Panevėžio apskritis,2011,6,13
Akmenės r.,2011,6,0
Joniškio r.,2011,6,1
Kelmės r.,2011,6,4
Radviliškio r.,2011,6,4
Šiauliai,2011,6,2
Šiaulių r.,2011,6,1
Šiaulių apskritis,2011,6,14
Jurbarko r.,2011,6,1
Šilalės r.,2011,6,3
Tauragės r.,2011,6,11
Tauragės apskritis,2011,6,15
Mažeikių r.,2011,6,1
Plungės r.,2011,6,0
Telšių r.,2011,6,9
Telšių apskritis,2011,6,10
Anykščių r.,2011,6,1
Ignalinos r.,2011,6,0
Molėtų r.,2011,6,0
Utenos r.,2011,6,1
Visaginas,2011,6,0
Zarasų r.,2011,6,3
Utenos apskritis,2011,6,5
Šalčininkų r.,2011,6,0
Širvintų r.,2011,6,1
Švenčionių r.,2011,6,0
Trakų r.,2011,6,4
Ukmergės r.,2011,6,4
Vilniaus r.,2011,6,7
Vilnius,2011,6,40
Vilniaus apskritis,2011,6,56
Alytaus r.,2011,7,0
Alytus,2011,7,2
Druskininkai,2011,7,4
Lazdyjų r.,2011,7,1
Varėnos r.,2011,7,0
Alytaus apskritis,2011,7,7
Birštonas,2011,7,0
Jonavos r.,2011,7,5
Kaišiadorių r.,2011,7,6
Kaunas,2011,7,65
Kauno r.,2011,7,14
Kėdainių r.,2011,7,6
Prienų r.,2011,7,3
Raseinių r.,2011,7,1
Kauno apskritis,2011,7,100
Klaipėda,2011,7,10
Klaipėdos r.,2011,7,5
Kretingos r.,2011,7,12
Neringa,2011,7,0
Palanga,2011,7,1
Šilutės r.,2011,7,2
Skuodo r.,2011,7,1
Klaipėdos apskritis,2011,7,31
Marijampolės r.,2011,7,4
Šakių r.,2011,7,2
Vilkaviškio r.,2011,7,0
Marijampolės apskritis,2011,7,6
Biržų r.,2011,7,3
Kupiškio r.,2011,7,6
Panevėžio r.,2011,7,9
Panevėžys,2011,7,21
Pasvalio r.,2011,7,0
Rokiškio r.,2011,7,10
Panevėžio apskritis,2011,7,49
Akmenės r.,2011,7,1
Joniškio r.,2011,7,3
Kelmės r.,2011,7,3
Radviliškio r.,2011,7,3
Šiauliai,2011,7,8
Šiaulių r.,2011,7,0
Šiaulių apskritis,2011,7,20
Jurbarko r.,2011,7,0
Šilalės r.,2011,7,1
Tauragės r.,2011,7,3
Tauragės apskritis,2011,7,4
Mažeikių r.,2011,7,1
Plungės r.,2011,7,4
Telšių r.,2011,7,8
Telšių apskritis,2011,7,13
Anykščių r.,2011,7,5
Ignalinos r.,2011,7,2
Molėtų r.,2011,7,1
Utenos r.,2011,7,0
Visaginas,2011,7,0
Zarasų r.,2011,7,4
Utenos apskritis,2011,7,12
Šalčininkų r.,2011,7,0
Širvintų r.,2011,7,1
Švenčionių r.,2011,7,3
Trakų r.,2011,7,6
Ukmergės r.,2011,7,5
Vilniaus r.,2011,7,14
Vilnius,2011,7,84
Vilniaus apskritis,2011,7,113
Alytaus r.,2011,8,3
Alytus,2011,8,9
Druskininkai,2011,8,3
Lazdyjų r.,2011,8,3
Varėnos r.,2011,8,4
Alytaus apskritis,2011,8,22
Birštonas,2011,8,1
Jonavos r.,2011,8,7
Kaišiadorių r.,2011,8,6
Kaunas,2011,8,68
Kauno r.,2011,8,14
Kėdainių r.,2011,8,5
Prienų r.,2011,8,0
Raseinių r.,2011,8,3
Kauno apskritis,2011,8,104
Klaipėda,2011,8,4
Klaipėdos r.,2011,8,3
Kretingos r.,2011,8,6
Neringa,2011,8,0
Palanga,2011,8,2
Šilutės r.,2011,8,4
Skuodo r.,2011,8,1
Klaipėdos apskritis,2011,8,20
Marijampolės r.,2011,8,6
Šakių r.,2011,8,1
Vilkaviškio r.,2011,8,1
Marijampolės apskritis,2011,8,8
Biržų r.,2011,8,0
Kupiškio r.,2011,8,3
Panevėžio r.,2011,8,5
Panevėžys,2011,8,24
Pasvalio r.,2011,8,0
Rokiškio r.,2011,8,3
Panevėžio apskritis,2011,8,35
Akmenės r.,2011,8,1
Joniškio r.,2011,8,0
Kelmės r.,2011,8,3
Radviliškio r.,2011,8,2
Šiauliai,2011,8,15
Šiaulių r.,2011,8,3
Šiaulių apskritis,2011,8,27
Jurbarko r.,2011,8,1
Šilalės r.,2011,8,1
Tauragės r.,2011,8,5
Tauragės apskritis,2011,8,7
Mažeikių r.,2011,8,3
Plungės r.,2011,8,10
Telšių r.,2011,8,15
Telšių apskritis,2011,8,28
Anykščių r.,2011,8,7
Ignalinos r.,2011,8,2
Molėtų r.,2011,8,1
Utenos r.,2011,8,2
Visaginas,2011,8,1
Zarasų r.,2011,8,1
Utenos apskritis,2011,8,14
Šalčininkų r.,2011,8,3
Širvintų r.,2011,8,1
Švenčionių r.,2011,8,4
Trakų r.,2011,8,14
Ukmergės r.,2011,8,3
Vilniaus r.,2011,8,11
Vilnius,2011,8,155
Vilniaus apskritis,2011,8,191
Alytaus r.,2011,9,1
Alytus,2011,9,2
Druskininkai,2011,9,1
Lazdyjų r.,2011,9,1
Varėnos r.,2011,9,3
Alytaus apskritis,2011,9,8
Birštonas,2011,9,0
Jonavos r.,2011,9,13
Kaišiadorių r.,2011,9,4
Kaunas,2011,9,56
Kauno r.,2011,9,12
Kėdainių r.,2011,9,5
Prienų r.,2011,9,3
Raseinių r.,2011,9,1
Kauno apskritis,2011,9,94
Klaipėda,2011,9,8
Klaipėdos r.,2011,9,6
Kretingos r.,2011,9,9
Neringa,2011,9,0
Palanga,2011,9,1
Šilutės r.,2011,9,4
Skuodo r.,2011,9,3
Klaipėdos apskritis,2011,9,31
Marijampolės r.,2011,9,8
Šakių r.,2011,9,2
Vilkaviškio r.,2011,9,3
Marijampolės apskritis,2011,9,13
Biržų r.,2011,9,1
Kupiškio r.,2011,9,7
Panevėžio r.,2011,9,3
Panevėžys,2011,9,11
Pasvalio r.,2011,9,0
Rokiškio r.,2011,9,13
Panevėžio apskritis,2011,9,35
Akmenės r.,2011,9,2
Joniškio r.,2011,9,2
Kelmės r.,2011,9,8
Radviliškio r.,2011,9,2
Šiauliai,2011,9,28
Šiaulių r.,2011,9,7
Šiaulių apskritis,2011,9,53
Jurbarko r.,2011,9,1
Šilalės r.,2011,9,2
Tauragės r.,2011,9,19
Tauragės apskritis,2011,9,22
Mažeikių r.,2011,9,6
Plungės r.,2011,9,10
Telšių r.,2011,9,12
Telšių apskritis,2011,9,28
Anykščių r.,2011,9,6
Ignalinos r.,2011,9,7
Molėtų r.,2011,9,1
Utenos r.,2011,9,4
Visaginas,2011,9,0
Zarasų r.,2011,9,0
Utenos apskritis,2011,9,18
Šalčininkų r.,2011,9,1
Širvintų r.,2011,9,0
Švenčionių r.,2011,9,4
Trakų r.,2011,9,12
Ukmergės r.,2011,9,8
Vilniaus r.,2011,9,18
Vilnius,2011,9,124
Vilniaus apskritis,2011,9,167
