,name,year,month,infection,forest cover,population
0,Alytaus apskritis,2004,3,1,49.0,182751.0
1,Alytaus m. sav.,2004,3,1,30.4,70053.0
2,Druskininkų sav.,2004,3,0,69.2,24665.0
3,Alytaus r. sav.,2004,3,0,24.6,31741.0
4,Lazdijų r. sav.,2004,3,0,34.8,26221.0
5,Varėnos r. sav.,2004,3,0,69.0,30071.0
6,Kauno apskritis,2004,3,22,29.5,682074.0
7,Kauno m. sav.,2004,3,18,20.6,363952.0
8,Jonavos r. sav.,2004,3,0,41.8,51510.0
9,Kaišiadorių r. sav.,2004,3,2,31.4,37117.0
10,Kauno r. sav.,2004,3,1,32.6,83167.0
11,Kėdainių r. sav.,2004,3,0,25.5,63692.0
12,Prienų r. sav.,2004,3,0,27.4,34438.0
13,Raseinių r. sav.,2004,3,1,22.9,42958.0
14,Klaipėdos apskritis,2004,3,1,24.7,376854.0
15,Klaipėdos m. sav.,2004,3,0,16.3,186811.0
16,Palangos m. sav.,2004,3,0,39.9,17222.0
17,Klaipėdos r. sav.,2004,3,0,23.8,47367.0
18,Kretingos r. sav.,2004,3,0,33.1,45454.0
19,Skuodo r. sav.,2004,3,0,15.4,24613.0
20,Šilutės r. sav.,2004,3,1,22.1,53143.0
21,Marijampolės apskritis,2004,3,1,21.6,184058.0
22,Marijampolės r. sav.,2004,3,0,,
23,Šakių r. sav.,2004,3,0,22.8,37575.0
24,Vilkaviškio r. sav.,2004,3,1,10.5,49137.0
25,Panevėžio apskritis,2004,3,14,27.2,290097.0
26,Panevėžio m. sav.,2004,3,7,0.6,114917.0
27,Biržų r. sav.,2004,3,1,26.3,34266.0
28,Kupiškio r. sav.,2004,3,0,27.9,23865.0
29,Panevėžio r. sav.,2004,3,1,33.9,42588.0
30,Pasvalio r. sav.,2004,3,0,16.5,33629.0
31,Rokiškio r. sav.,2004,3,5,27.9,40832.0
32,Šiaulių apskritis,2004,3,6,25.8,357441.0
33,Šiaulių m. sav.,2004,3,4,15.0,127805.0
34,Akmenės r. sav.,2004,3,0,32.1,28951.0
35,Joniškio r. sav.,2004,3,0,18.4,31012.0
36,Kelmės r. sav.,2004,3,1,26.2,39498.0
37,Radviliškio r. sav.,2004,3,0,25.7,50638.0
38,Šiaulių r. sav.,2004,3,1,32.6,51002.0
39,Tauragės apskritis,2004,3,0,31.7,130179.0
40,Jurbarko r. sav.,2004,3,0,38.0,36314.0
41,Šilalės r. sav.,2004,3,0,24.0,30768.0
42,Tauragės r. sav.,2004,3,0,38.5,51352.0
43,Telšių apskritis,2004,3,4,32.9,175090.0
44,Mažeikių r. sav.,2004,3,1,29.3,65831.0
45,Plungės r. sav.,2004,3,0,32.7,43349.0
