name,year,month,infection
Alytaus apskritis,2005,1,2
Alytaus m. sav.,2005,1,0
Druskininkų sav.,2005,1,0
Alytaus r. sav.,2005,1,2
Lazdijų r. sav.,2005,1,0
Varėnos r. sav.,2005,1,0
Kauno apskritis,2005,1,9
Kauno m. sav.,2005,1,6
Jonavos r. sav.,2005,1,0
Kaišiadorių r. sav.,2005,1,0
Kauno r. sav.,2005,1,1
Kėdainių r. sav.,2005,1,1
Prienų r. sav.,2005,1,0
Raseinių r. sav.,2005,1,1
Klaipėdos apskritis,2005,1,1
Klaipėdos m. sav.,2005,1,1
Palangos m. sav.,2005,1,0
Klaipėdos r. sav.,2005,1,0
Kretingos r. sav.,2005,1,0
Skuodo r. sav.,2005,1,0
Šilutės r. sav.,2005,1,0
Marijampolės apskritis,2005,1,3
Marijampolės r. sav.,2005,1,1
Šakių r. sav.,2005,1,0
Vilkaviškio r. sav.,2005,1,2
Panevėžio apskritis,2005,1,8
Panevėžio m. sav.,2005,1,4
Biržų r. sav.,2005,1,0
Kupiškio r. sav.,2005,1,0
Panevėžio r. sav.,2005,1,1
Pasvalio r. sav.,2005,1,1
Rokiškio r. sav.,2005,1,2
Šiaulių apskritis,2005,1,5
Šiaulių m. sav.,2005,1,3
Akmenės r. sav.,2005,1,0
Joniškio r. sav.,2005,1,0
Kelmės r. sav.,2005,1,1
Radviliškio r. sav.,2005,1,0
Šiaulių r. sav.,2005,1,1
Tauragės apskritis,2005,1,2
Jurbarko r. sav.,2005,1,0
Šilalės r. sav.,2005,1,0
Tauragės r. sav.,2005,1,2
Telšių apskritis,2005,1,1
Mažeikių r. sav.,2005,1,0
Plungės r. sav.,2005,1,0
Telšių r. sav.,2005,1,1
Utenos apskritis,2005,1,0
Visagino sav.,2005,1,0
Anykščių r. sav.,2005,1,0
Ignalinos r. sav.,2005,1,0
Molėtų r. sav.,2005,1,0
Utenos r. sav.,2005,1,0
Zarasų r. sav.,2005,1,0
Vilniaus apskritis,2005,1,16
Vilniaus m. sav.,2005,1,16
Šalčininkų r. sav.,2005,1,0
Širvintų r. sav.,2005,1,0
Švenčionių r. sav.,2005,1,0
Ukmergės r. sav.,2005,1,0
Vilniaus r. sav.,2005,1,4
Trakų r. sav.,2005,1,1
Alytaus apskritis,2005,2,1
Alytaus m. sav.,2005,2,0
Druskininkų sav.,2005,2,0
Alytaus r. sav.,2005,2,0
Lazdijų r. sav.,2005,2,1
Varėnos r. sav.,2005,2,0
Kauno apskritis,2005,2,3
Kauno m. sav.,2005,2,3
Jonavos r. sav.,2005,2,0
Kaišiadorių r. sav.,2005,2,0
Kauno r. sav.,2005,2,0
Kėdainių r. sav.,2005,2,0
Prienų r. sav.,2005,2,0
Raseinių r. sav.,2005,2,0
Klaipėdos apskritis,2005,2,1
Klaipėdos m. sav.,2005,2,0
Palangos m. sav.,2005,2,0
Klaipėdos r. sav.,2005,2,0
Kretingos r. sav.,2005,2,0
Skuodo r. sav.,2005,2,0
Šilutės r. sav.,2005,2,1
Marijampolės apskritis,2005,2,1
Marijampolės r. sav.,2005,2,0
Šakių r. sav.,2005,2,0
Vilkaviškio r. sav.,2005,2,1
Panevėžio apskritis,2005,2,5
Panevėžio m. sav.,2005,2,2
Biržų r. sav.,2005,2,0
Kupiškio r. sav.,2005,2,1
Panevėžio r. sav.,2005,2,0
Pasvalio r. sav.,2005,2,1
Rokiškio r. sav.,2005,2,1
Šiaulių apskritis,2005,2,3
Šiaulių m. sav.,2005,2,0
Akmenės r. sav.,2005,2,2
Joniškio r. sav.,2005,2,0
Kelmės r. sav.,2005,2,1
Radviliškio r. sav.,2005,2,0
Šiaulių r. sav.,2005,2,0
Tauragės apskritis,2005,2,0
Jurbarko r. sav.,2005,2,0
Šilalės r. sav.,2005,2,0
Tauragės r. sav.,2005,2,0
Telšių apskritis,2005,2,1
Mažeikių r. sav.,2005,2,1
Plungės r. sav.,2005,2,0
Telšių r. sav.,2005,2,0
Utenos apskritis,2005,2,0
Visagino sav.,2005,2,0
Anykščių r. sav.,2005,2,0
Ignalinos r. sav.,2005,2,0
Molėtų r. sav.,2005,2,0
Alytaus apskritis,2005,3,0
Alytaus m. sav.,2005,3,0
Druskininkų sav.,2005,3,0
Alytaus r. sav.,2005,3,0
Lazdijų r. sav.,2005,3,0
Varėnos r. sav.,2005,3,0
Kauno apskritis,2005,3,0
Kauno m. sav.,2005,3,0
Jonavos r. sav.,2005,3,0
Kaišiadorių r. sav.,2005,3,0
Kauno r. sav.,2005,3,0
Kėdainių r. sav.,2005,3,0
Prienų r. sav.,2005,3,0
Raseinių r. sav.,2005,3,0
Klaipėdos apskritis,2005,3,0
Klaipėdos m. sav.,2005,3,0
Palangos m. sav.,2005,3,0
Klaipėdos r. sav.,2005,3,0
Kretingos r. sav.,2005,3,0
Skuodo r. sav.,2005,3,0
Šilutės r. sav.,2005,3,0
Marijampolės apskritis,2005,3,1
Marijampolės r. sav.,2005,3,1
Šakių r. sav.,2005,3,0
Vilkaviškio r. sav.,2005,3,0
Panevėžio apskritis,2005,3,2
Panevėžio m. sav.,2005,3,1
Biržų r. sav.,2005,3,0
Kupiškio r. sav.,2005,3,0
Panevėžio r. sav.,2005,3,1
Pasvalio r. sav.,2005,3,0
Rokiškio r. sav.,2005,3,0
Šiaulių apskritis,2005,3,1
Šiaulių m. sav.,2005,3,1
Akmenės r. sav.,2005,3,0
Joniškio r. sav.,2005,3,0
Kelmės r. sav.,2005,3,0
Radviliškio r. sav.,2005,3,0
Šiaulių r. sav.,2005,3,0
Tauragės apskritis,2005,3,0
Jurbarko r. sav.,2005,3,0
Šilalės r. sav.,2005,3,0
Tauragės r. sav.,2005,3,0
Telšių apskritis,2005,3,0
Mažeikių r. sav.,2005,3,0
Plungės r. sav.,2005,3,0
Telšių r. sav.,2005,3,0
Utenos apskritis,2005,3,2
Visagino sav.,2005,3,0
Anykščių r. sav.,2005,3,2
Ignalinos r. sav.,2005,3,0
Molėtų r. sav.,2005,3,0
Utenos r. sav.,2005,3,0
Zarasų r. sav.,2005,3,0
Vilniaus apskritis,2005,3,2
Vilniaus m. sav.,2005,3,2
Šalčininkų r. sav.,2005,3,0
Širvintų r. sav.,2005,3,0
Švenčionių r. sav.,2005,3,0
Ukmergės r. sav.,2005,3,0
