stoties_kodas,ilguma,platuma,oro_temp,juntamoji_temp,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,year,month
birzu-ams,24.774184,56.193191,6.928174603174604,6.393650793650794,57.55911823647295,1017.1565476190476,78.2936507936508,32.7,2013,04
dotnuvos-ams,23.866224,55.395993,7.22797619047619,6.731349206349206,0.0,1017.6853174603175,73.99603174603175,15.9,2013,04
duksto-ams,26.31614,55.517856,7.020039682539682,6.66547619047619,58.726907630522085,1017.8589285714286,71.99404761904762,12.4,2013,04
kauno-ams,23.83588,54.88396,7.971031746031747,7.4851190476190474,49.25354969574037,1017.8140873015873,73.51388888888889,20.0,2013,04
klaipedos-ams,21.09157,55.73135,6.251190476190476,5.533730158730159,52.128691983122366,1016.9507936507937,79.96230158730158,31.6,2013,04
kybartu-ams,22.783011,54.633167,8.47420634920635,8.202380952380953,54.60441767068273,1017.6803571428571,71.95436507936508,11.8,2013,04
laukuvos-ams,22.239463,55.60886,6.286309523809524,5.106746031746032,53.92638036809816,1017.1440476190476,76.42460317460318,21.7,2013,04
lazdiju-ams,23.51068,54.23221,8.32202380952381,8.023412698412699,54.35627530364373,1018.182738095238,70.08730158730158,17.5,2013,04
nidos-ams,21.00736,55.30221,6.316500994035785,5.552882703777335,49.764227642276424,1017.1678571428571,82.2882703777336,21.1,2013,04
panevezio-ams,24.417184,55.735154,7.292445328031809,6.800596421471172,55.68336673346693,1017.4595238095237,72.1868787276342,16.2,2013,04
raseiniu-ams,23.133073,55.394569,6.88968253968254,5.946626984126984,54.62090163934426,1017.3906746031746,75.56547619047619,23.6,2013,04
siauliu-ams,23.331111,55.942222,6.96765873015873,6.608134920634921,55.14574898785425,1017.1309523809524,73.11111111111111,20.900000000000002,2013,04
silutes-ams,21.446944,55.352222,7.591468253968253,6.978174603174603,53.48049281314169,1017.2515873015873,75.72222222222223,23.7,2013,04
